gene,inMod
evm.TU.chromosome_1.1637,1
evm.TU.chromosome_1.1638,1
evm.TU.chromosome_1.1639,1
evm.TU.chromosome_1.1640,0
evm.TU.chromosome_1.1641,1
evm.TU.chromosome_1.1642,0
evm.TU.chromosome_1.1643,0
evm.TU.chromosome_1.1644,1
evm.TU.chromosome_1.1645,1
evm.TU.chromosome_1.1646,1
evm.TU.chromosome_1.1647,1
evm.TU.chromosome_1.1648,1
evm.TU.chromosome_1.1649,0
evm.TU.chromosome_1.165,1
evm.TU.chromosome_1.1650,1
evm.TU.chromosome_1.1651,1
evm.TU.chromosome_1.1652,0
evm.TU.chromosome_1.1653,1
evm.TU.chromosome_1.1654,1
evm.TU.chromosome_1.1655,0
evm.TU.chromosome_1.1656,1
evm.TU.chromosome_1.1657,0
evm.TU.chromosome_1.1658,0
evm.TU.chromosome_1.1659,0
evm.TU.chromosome_1.166,1
evm.TU.chromosome_1.1661,1
evm.TU.chromosome_1.1662,0
evm.TU.chromosome_1.1663,1
evm.TU.chromosome_1.1664,1
evm.TU.chromosome_1.1665,1
evm.TU.chromosome_1.1666,1
evm.TU.chromosome_1.1667_evm.TU.chromosome_1.1672,1
evm.TU.chromosome_1.1674,0
evm.TU.chromosome_1.1675,0
evm.TU.chromosome_1.1676,0
evm.TU.chromosome_1.1677,0
evm.TU.chromosome_1.1678,1
evm.TU.chromosome_1.1679,1
evm.TU.chromosome_1.1680,0
evm.TU.chromosome_1.1681,1
evm.TU.chromosome_1.1683,0
evm.TU.chromosome_1.1684,0
evm.TU.chromosome_1.1685,1
evm.TU.chromosome_1.1686,1
evm.TU.chromosome_1.1687,0
evm.TU.chromosome_1.1688,1
evm.TU.chromosome_1.1689,1
evm.TU.chromosome_1.1690,1
evm.TU.chromosome_1.1691,1
evm.TU.chromosome_1.1692,1
evm.TU.chromosome_1.1693,1
evm.TU.chromosome_1.1694,1
evm.TU.chromosome_1.1695,1
evm.TU.chromosome_1.1696,1
evm.TU.chromosome_1.1697,0
evm.TU.chromosome_1.1698,0
evm.TU.chromosome_1.1699,1
evm.TU.chromosome_1.17,0
evm.TU.chromosome_1.170,1
evm.TU.chromosome_1.1702,0
evm.TU.chromosome_1.1703,1
evm.TU.chromosome_1.1704,1
evm.TU.chromosome_1.1705,0
evm.TU.chromosome_1.1706,0
evm.TU.chromosome_1.1707,0
evm.TU.chromosome_1.1708,1
evm.TU.chromosome_1.1709,1
evm.TU.chromosome_1.171,0
evm.TU.chromosome_1.1710,1
evm.TU.chromosome_1.1711,1
evm.TU.chromosome_1.1712,0
evm.TU.chromosome_1.1713,1
evm.TU.chromosome_1.1714,0
evm.TU.chromosome_1.1715,0
evm.TU.chromosome_1.1716,0
evm.TU.chromosome_1.1717,1
evm.TU.chromosome_1.172,0
evm.TU.chromosome_1.1720,1
evm.TU.chromosome_1.1721,1
evm.TU.chromosome_1.1722,1
evm.TU.chromosome_1.1723,1
evm.TU.chromosome_1.1724,1
evm.TU.chromosome_1.1725,1
evm.TU.chromosome_1.1726,1
